study,questionnaire,answer_list,value,label,label_de
soep-is,soep-is-2011,q165,3,Apprentice / trainee / intern ,Auszubildende / Praktikanten
soep-is,soep-is-2011,q165,4,White-collar worker (Angestellte),Angestellte
soep-is,soep-is-2011,q165,5,"Civil servant, including judges and professional soldiers",Beamte / Staatsverwaltung (einschließlich Richter und Berufssoldaten)
soep-is,soep-is-2011,q165,9,No answer,Keine Angabe
soep-is,soep-is-2011,q165a2,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q165a2,1,Unskilled worker (ungelernt),Ungelernte Arbeiter
soep-is,soep-is-2011,q165a2,2,Semi-skilled worker (angelernt),Angelernte Arbeiter
soep-is,soep-is-2011,q165a2,3,Trained worker (gelernter Arbeiter) or skilled worker (Facharbeiter),Gelernte und Facharbeiter
soep-is,soep-is-2011,q165a2,4,Foreman / forewoman (Vorarbeiter / Kolonnenführer),"Vorarbeiter, Kolonnenführer"
soep-is,soep-is-2011,q165a2,5,Master craftsperson (Meister / Polierer),"Meister, Polier"
soep-is,soep-is-2011,q165b2,1,Self-employed farmer,Selbständige Landwirte
soep-is,soep-is-2011,q165b2,2,Freelance professional / self-employed academic,"Freie Berufe, selbständige Akademiker"
soep-is,soep-is-2011,q165b2,3,Other self-employed people,Sonstige Selbständige
soep-is,soep-is-2011,q165b2,4,Working for a self-employed relative,Mithelfende Familienangehörige
soep-is,soep-is-2011,q165b2,9,No answer,Keine Angabe
soep-is,soep-is-2011,q165c,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q165c,1,"Employed full-time, at least 35 hours per week","Voll berufstätig, also mindestens 35 Wochenstunden"
soep-is,soep-is-2011,q165c,2,"Employed part-time, from 20 to 34 hours per week","Teilzeitbeschäftigt, also 20 bis 34 Wochenstunden"
soep-is,soep-is-2011,q165c,3,In marginal or irregular employment,Geringfügig oder unregelmäßig beschäftigt
soep-is,soep-is-2011,q165c2,1,No answer,Keine
soep-is,soep-is-2011,q165c2,2,1 to 9,1 bis 9
soep-is,soep-is-2011,q165c2,3,10 and more,10 und mehr
soep-is,soep-is-2011,q165c2,9,No answer,Keine Angabe
soep-is,soep-is-2011,q165d2,1,Apprentice ,Auszubildende
soep-is,soep-is-2011,q165d2,2,Trainee/ interim,"Volontäre, Praktikanten u.ä."
soep-is,soep-is-2011,q165d2,9,No answer,Keine Angabe
soep-is,soep-is-2011,q165e2,1,"Industry or factory foreman / forewoman (Industriemeister, Werkmeister) in a salaried position",Industrie- und Werkmeister im Angestelltenverhältnis
soep-is,soep-is-2011,q165e2,2,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) without completed training/education,Angestellter mit einfacher Tätigkeit ohne Ausbildungsabschluss
soep-is,soep-is-2011,q165e2,3,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) with completed training/education,Angestellter mit einfacher Tätigkeit mit Ausbildungsabschluss
soep-is,soep-is-2011,q165e2,4,"Salaried employee engaged in skilled activities (Angestellter mit qualifizierter Tätigkeit) (e.g., executive officer, bookkeeper, technical draftsperson)","Angestellter mit qualifizierter Tätigkeit (z.B. Sachbearbeiter, Buchhalter oder technischer Zeichner)"
soep-is,soep-is-2011,q165e2,5,"Salaried employee engaged in highly skilled activities (Angestellter mit hochqualifizierter Tätigkeit) or managerial functions (e.g., scientist, engineer, department head)","Angestellter mit hochqualifizierter Tätigkeit oder Leitungsfunktion (z.B. wissenschaftlicher Mitarbeiter, Ingenieur oder Abteilungsleiter)"
soep-is,soep-is-2011,q165e2,6,"Salaried employee with extensive managerial duties (Angestellter mit umfassenden Führungsaufgaben) (e.g., managing director, head of a large firm or association)","Angestellter mit umfassenden Führungsaufgaben (z.B. Direktor, Geschäftsführer oder Vorstand größerer Betriebe und Verbände)"
soep-is,soep-is-2011,q165e2,9,No answer,Keine Angabe
soep-is,soep-is-2011,q165f2,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q165f2,1,Lower level,Einfacher Dienst
soep-is,soep-is-2011,q165f2,2,Middle level,Mittlerer Dienst
soep-is,soep-is-2011,q165f2,3,Upper level,Gehobener Dienst
soep-is,soep-is-2011,q165f2,4,Executive level,Höherer Dienst
soep-is,soep-is-2011,q166,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q166,1,"No, definitely not","Nein, ganz sicher nicht"
soep-is,soep-is-2011,q166,2,Probably not,Eher unwahrscheinlich
soep-is,soep-is-2011,q166,3,Probably,Wahrscheinlich
