study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-is,DRM12_IS,q11drm_29_10,,,,,,,,
soep-is,DRM12_IS,q11drm_29_2,,,,,,,,
soep-is,DRM12_IS,q11drm_29_3,,,,,,,,
soep-is,DRM12_IS,q11drm_29_4,,,,,,,,
soep-is,DRM12_IS,q11drm_29_5,,,,,,,,
soep-is,DRM12_IS,q11drm_29_6,,,,,,,,
soep-is,DRM12_IS,q11drm_29_7,,,,,,,,
soep-is,DRM12_IS,q11drm_29_8,,,,,,,,
soep-is,DRM12_IS,q11drm_29_9,,,,,,,,
soep-is,DRM12_IS,q11drm_2_1,,,,,,,,
soep-is,DRM12_IS,q11drm_2_10,,,,,,,,
soep-is,DRM12_IS,q11drm_2_2,,,,,,,,
soep-is,DRM12_IS,q11drm_2_3,,,,,,,,
soep-is,DRM12_IS,q11drm_2_4,,,,,,,,
soep-is,DRM12_IS,q11drm_2_5,,,,,,,,
soep-is,DRM12_IS,q11drm_2_6,,,,,,,,
soep-is,DRM12_IS,q11drm_2_7,,,,,,,,
soep-is,DRM12_IS,q11drm_2_8,,,,,,,,
soep-is,DRM12_IS,q11drm_2_9,,,,,,,,
soep-is,DRM12_IS,q11drm_30_1,,,,,,,,
soep-is,DRM12_IS,q11drm_30_10,,,,,,,,
soep-is,DRM12_IS,q11drm_30_2,,,,,,,,
soep-is,DRM12_IS,q11drm_30_3,,,,,,,,
soep-is,DRM12_IS,q11drm_30_4,,,,,,,,
soep-is,DRM12_IS,q11drm_30_5,,,,,,,,
soep-is,DRM12_IS,q11drm_30_6,,,,,,,,
soep-is,DRM12_IS,q11drm_30_7,,,,,,,,
soep-is,DRM12_IS,q11drm_30_8,,,,,,,,
soep-is,DRM12_IS,q11drm_30_9,,,,,,,,
soep-is,DRM12_IS,q11drm_3_1,,,,,,,,
soep-is,DRM12_IS,q11drm_3_10,,,,,,,,
soep-is,DRM12_IS,q11drm_3_2,,,,,,,,
soep-is,DRM12_IS,q11drm_3_3,,,,,,,,
soep-is,DRM12_IS,q11drm_3_4,,,,,,,,
soep-is,DRM12_IS,q11drm_3_5,,,,,,,,
soep-is,DRM12_IS,q11drm_3_6,,,,,,,,
soep-is,DRM12_IS,q11drm_3_7,,,,,,,,
soep-is,DRM12_IS,q11drm_3_8,,,,,,,,
soep-is,DRM12_IS,q11drm_3_9,,,,,,,,
soep-is,DRM12_IS,q11drm_4_1,,,,,,,,
soep-is,DRM12_IS,q11drm_4_10,,,,,,,,
soep-is,DRM12_IS,q11drm_4_2,,,,,,,,
soep-is,DRM12_IS,q11drm_4_3,,,,,,,,
soep-is,DRM12_IS,q11drm_4_4,,,,,,,,
soep-is,DRM12_IS,q11drm_4_5,,,,,,,,
soep-is,DRM12_IS,q11drm_4_6,,,,,,,,
soep-is,DRM12_IS,q11drm_4_7,,,,,,,,
soep-is,DRM12_IS,q11drm_4_8,,,,,,,,
soep-is,DRM12_IS,q11drm_4_9,,,,,,,,
soep-is,DRM12_IS,q11drm_5_1,,,,,,,,
soep-is,DRM12_IS,q11drm_5_10,,,,,,,,
soep-is,DRM12_IS,q11drm_5_2,,,,,,,,
soep-is,DRM12_IS,q11drm_5_3,,,,,,,,
soep-is,DRM12_IS,q11drm_5_4,,,,,,,,
soep-is,DRM12_IS,q11drm_5_5,,,,,,,,
soep-is,DRM12_IS,q11drm_5_6,,,,,,,,
soep-is,DRM12_IS,q11drm_5_7,,,,,,,,
soep-is,DRM12_IS,q11drm_5_8,,,,,,,,
soep-is,DRM12_IS,q11drm_5_9,,,,,,,,
soep-is,DRM12_IS,q11drm_6_1,,,,,,,,
soep-is,DRM12_IS,q11drm_6_10,,,,,,,,
soep-is,DRM12_IS,q11drm_6_2,,,,,,,,
soep-is,DRM12_IS,q11drm_6_3,,,,,,,,
soep-is,DRM12_IS,q11drm_6_4,,,,,,,,
soep-is,DRM12_IS,q11drm_6_5,,,,,,,,
soep-is,DRM12_IS,q11drm_6_6,,,,,,,,
soep-is,DRM12_IS,q11drm_6_7,,,,,,,,
soep-is,DRM12_IS,q11drm_6_8,,,,,,,,
soep-is,DRM12_IS,q11drm_6_9,,,,,,,,
soep-is,DRM12_IS,q11drm_7_1,,,,,,,,
soep-is,DRM12_IS,q11drm_7_10,,,,,,,,
soep-is,DRM12_IS,q11drm_7_2,,,,,,,,
soep-is,DRM12_IS,q11drm_7_3,,,,,,,,
soep-is,DRM12_IS,q11drm_7_4,,,,,,,,
soep-is,DRM12_IS,q11drm_7_5,,,,,,,,
soep-is,DRM12_IS,q11drm_7_6,,,,,,,,
soep-is,DRM12_IS,q11drm_7_7,,,,,,,,
soep-is,DRM12_IS,q11drm_7_8,,,,,,,,
soep-is,DRM12_IS,q11drm_7_9,,,,,,,,
soep-is,DRM12_IS,q11drm_8_1,,,,,,,,
soep-is,DRM12_IS,q11drm_8_10,,,,,,,,
soep-is,DRM12_IS,q11drm_8_2,,,,,,,,
soep-is,DRM12_IS,q11drm_8_3,,,,,,,,
soep-is,DRM12_IS,q11drm_8_4,,,,,,,,
soep-is,DRM12_IS,q11drm_8_5,,,,,,,,
soep-is,DRM12_IS,q11drm_8_6,,,,,,,,
soep-is,DRM12_IS,q11drm_8_7,,,,,,,,
soep-is,DRM12_IS,q11drm_8_8,,,,,,,,
soep-is,DRM12_IS,q11drm_8_9,,,,,,,,
soep-is,DRM12_IS,q11drm_9_1,,,,,,,,
soep-is,DRM12_IS,q11drm_9_10,,,,,,,,
soep-is,DRM12_IS,q11drm_9_2,,,,,,,,
soep-is,DRM12_IS,q11drm_9_3,,,,,,,,
soep-is,DRM12_IS,q11drm_9_4,,,,,,,,
soep-is,DRM12_IS,q11drm_9_5,,,,,,,,
soep-is,DRM12_IS,q11drm_9_6,,,,,,,,
soep-is,DRM12_IS,q11drm_9_7,,,,,,,,
soep-is,DRM12_IS,q11drm_9_8,,,,,,,,
soep-is,DRM12_IS,q11drm_9_9,,,,,,,,
soep-is,DRM12_IS,q12drm_10_1,,,,,,,,
soep-is,DRM12_IS,q12drm_10_10,,,,,,,,
soep-is,DRM12_IS,q12drm_10_11,,,,,,,,
soep-is,DRM12_IS,q12drm_10_12,,,,,,,,
soep-is,DRM12_IS,q12drm_10_13,,,,,,,,
soep-is,DRM12_IS,q12drm_10_2,,,,,,,,
soep-is,DRM12_IS,q12drm_10_3,,,,,,,,
soep-is,DRM12_IS,q12drm_10_4,,,,,,,,
soep-is,DRM12_IS,q12drm_10_5,,,,,,,,
soep-is,DRM12_IS,q12drm_10_6,,,,,,,,
soep-is,DRM12_IS,q12drm_10_7,,,,,,,,
