study,questionnaire,answer_list,value,label,label_de,,
soep-is,soep-is-2011,q150,2,"No, I haven't graduated yet, I'm still in school","Nein, noch keinen Abschluss, gehe noch zur Schule",291,q150
soep-is,soep-is-2011,q150,3,"No, left school without graduation","Nein, Schule ohne Abschluss verlassen",292,q150
soep-is,soep-is-2011,q151,-1,No answer,Keine Angabe,293,q151
soep-is,soep-is-2011,q151,1,In a federal state of the Federal Republic of Germany?,In einem Bundesland der Bundesrepublik Deutschland?,294,q151
soep-is,soep-is-2011,q151,2,In GDR?,In der DDR?,295,q151
soep-is,soep-is-2011,q151,3,In another country,In einem anderen Land?,296,q151
soep-is,soep-is-2011,q152,-1,No answer,Keine Angabe,297,q152
soep-is,soep-is-2011,q152,2,"Secondary general school leaving certificate (""Hauptschulabschluss"")",Volksschul-/ Hauptschulabschluss,298,q152
soep-is,soep-is-2011,q152,3,"Intermediate school leaving certificate (""Mittlere Reife"", ""Realschulabschluss"")",Mittlere Reife / Realschulabschluss,299,q152
soep-is,soep-is-2011,q152,4,"Leaving certificate from a Fachoberschule (""Fachhochschulreife"" - qualification for studies at a Fachhochschule)",Fachhochschulreife (Abschluss Fachoberschule),300,q152
soep-is,soep-is-2011,q152,5,"Upper secondary leaving certificate (""Abitur"")",Abitur (Hochschulreife),301,q152
soep-is,soep-is-2011,q152,6,Other school leaving certificate (please state),Anderer Schulabschluss,302,q152
soep-is,soep-is-2011,q153,-1,No answer,Keine Angabe,303,q153
soep-is,soep-is-2011,q153,1,Secondary School Degree ,Abschluss 8. Klasse,304,q153
soep-is,soep-is-2011,q153,2,Intermediate School Degree,Abschluss 10. Klasse,305,q153
soep-is,soep-is-2011,q153,3,Upper Secondary School Degree ,Abitur (Hochschulreife),306,q153
soep-is,soep-is-2011,q153,4,Other Degree,Anderer Schulabschluss,307,q153
soep-is,soep-is-2011,q155,-1,No answer,Keine Angabe,308,q155
soep-is,soep-is-2011,q155,1,"School, with degree",Abschluss einer Pflichtschule,309,q155
soep-is,soep-is-2011,q155,2,Vocational Extension School ,Abschluss einer weiterführenden Schule,310,q155
soep-is,soep-is-2011,q156,-1,No answer,Keine Angabe,311,q156
soep-is,soep-is-2011,q156,1,Yes,Ja,312,q156
soep-is,soep-is-2011,q156,2,No,Nein,313,q156
soep-is,soep-is-2011,q159,-2,No answer,Keine Angabe,316,q159
soep-is,soep-is-2011,q159,1,Yes,Ja,317,q159
soep-is,soep-is-2011,q159,2,No,Nein,318,q159
soep-is,soep-is-2011,q15903,1,Lower secondary school (Hauptschule),Hauptschule,319,q15903
soep-is,soep-is-2011,q15903,2,Intermediate secondary school (Realschule),Realschule,320,q15903
soep-is,soep-is-2011,q15903,3,Upper secondary school (Gymnasium),Gymnasium,321,q15903
soep-is,soep-is-2011,q15903,4,Comprehensive school (Gesamtschule),Gesamtschule,322,q15903
soep-is,soep-is-2011,q15903,5,Evening intermediate / upper secondary school (Abendrealschule / Abendgymnasium),"Abendrealschule, Abendgymnasium",323,q15903
soep-is,soep-is-2011,q15903,6,Specialized upper secondary school (Fachoberschule),Fachoberschule,324,q15903
soep-is,soep-is-2011,q15903,9,No answer,Keine Angabe,325,q15903
soep-is,soep-is-2011,q16,1,In good condition,In gutem Zustand,326,q16
soep-is,soep-is-2011,q16,2,In need of partial renovation,Teilweise renovierungsbedürftig,327,q16
soep-is,soep-is-2011,q16,3,In need of complete renovation,Ganz renovierungsbedürftig,328,q16
soep-is,soep-is-2011,q16,4,Near collapse,Abbruchreif,329,q16
soep-is,soep-is-2011,q16,9,No answer,Keine Angabe,330,q16
soep-is,soep-is-2011,q160,-2,No answer,Keine Angabe,331,q160
soep-is,soep-is-2011,q160,1,General education / secondary school ,Allgemeinbildende Schule,332,q160
soep-is,soep-is-2011,q160,2,Vocational training,Berufliche Ausbildung,333,q160
soep-is,soep-is-2011,q160,3,Higher education,"Hochschule, Fachhochschule",334,q160
soep-is,soep-is-2011,q160,4,"Further training, Retraining","Weiterbildung, Umschulung",335,q160
soep-is,soep-is-2011,q160c,-2,No answer,Keine Angabe,338,q160c
soep-is,soep-is-2011,q160c,1,Yes,Ja,339,q160c
soep-is,soep-is-2011,q160c,2,No,Nein,340,q160c
