study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,MEM12_IS,mem0908a,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908aa,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908ab,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908ac,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908ad,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908ae,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908af,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908ag,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908ah,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908ai,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908aj,,,soep-is-2012-aufwuchs,mem0908a,Q200,mem0908a,,,,,,
soep-is,MEM12_IS,mem0908b,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908c,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908d,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908e,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908f,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908g,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908h,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908i,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0908j,,,soep-is-2012-aufwuchs,mem0908,Q199,mem0908,,,,,,
soep-is,MEM12_IS,mem0909a,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909aa,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909ab,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909ac,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909ad,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909ae,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909af,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909ag,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909ah,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909ai,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909aj,,,soep-is-2012-aufwuchs,mem0909a,Q200,mem0909a,,,,,,
soep-is,MEM12_IS,mem0909b,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909c,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909d,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909e,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909f,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909g,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909h,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909i,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0909j,,,soep-is-2012-aufwuchs,mem0909,Q199,mem0909,,,,,,
soep-is,MEM12_IS,mem0910a,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910aa,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910ab,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910ac,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910ad,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910ae,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910af,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910ag,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910ah,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910ai,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910aj,,,soep-is-2012-aufwuchs,mem0910a,Q200,mem0910a,,,,,,
soep-is,MEM12_IS,mem0910b,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910c,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910d,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910e,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910f,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910g,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910h,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910i,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0910j,,,soep-is-2012-aufwuchs,mem0910,Q199,mem0910,,,,,,
soep-is,MEM12_IS,mem0911a,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
